231TH    235U A DECAY (7.04E+8 Y)      2005GA36,2018MA03,1975VA1122NDS    202210
231TH c  1983Ol01: measurement of absolute intensities of four |g rays at
231TH2c  Idaho Falls.
231TH c  1983Ba77: measurement of absolute intensities of 28 |g rays in the
231TH2c  energy range of 25-247 keV, 18 |g rays from {+235}U decay and 10
231TH3c  |g rays from {+231}Th |e decay to {+231}Ac, at AERE, Harwell. No
231TH4c  information is available in the paper about gamma-ray energy
231TH5c  measurements, and the values are listed by the authors without
231TH6c  uncertainties
231TH c  1982Va04: measurement of absolute intensities of four |g rays in the
231TH2c  energy range of 144-205 keV at JRC, Geel
231TH c  1977Ba72: measurement of energies and relative intensities of 50
231TH2c  |g rays
231TH c  1975Va11: measurement of energies and absolute intensities of 13 |a
231TH2c  groups, energies and absolute intensities of 42 |g rays in the energy
231TH3c  range of 42-794 keV, and |g|g-coin at Orsay.
231TH c  1974Te03: measurement of energies and relative intensities of 28 |g
231TH2c  rays in the energy range of 31-390 keV at the University of Manitoba
231TH c  1974HeYW, 1971KrZH, 1971Cl03: measured energies and relative
231TH2c  intensities of 34 |g rays at Idaho Falls; also a later work 1984He12
231TH3c  from the same lab.
231TH c  1966Ga03: measured energies and absolute intensities of 32 |a groups,
231TH2c  and 17 |g rays in the energy range of 46-1010 keV, |a|g- and |g|g-coin
231TH3c  using NaI(Tl) detector for |g rays. E|a values in this work may be
231TH4c  lower by 6 keV due to calibration lines used as stated in 1971Ar48
231TH5c  evaluation
231TH c  1967Ch36: measured E|g
231TH c  1965Wh05: measured |a-particle energies and intensities of eight lines,
231TH2c  half-life of {+235}U decay
231TH c  1964Sc27: measured |a-particle energies and intensities of ten lines.
231TH c  1962Pi06 (also 1957Pi31 thesis): priv. comm. E|a, I|a, E|g, I|g for 11
231TH2c  |a lines and seven |g rays, as listed in 1971Ar48 evaluation
231TH c  1961Ko11: measured |a-particle energies and intensities of
231TH2c  five |a lines
231TH c  1961-Skillings, D.J.: cited by 1964Hy02, p.729: measured |a-particle
231TH2c  energies and intensities of eight lines, as listed in 1971Ar48
231TH3c  evaluation
231TH c  1960Ba44: measured |a-particle energies and intensities of 13 lines
231TH c  1960Vo07: measured |a-particle energies and intensities of four lines,
231TH2c  |a|g-coin and E|g for four |g rays
231TH c  1959St49: measured half-life of 186 level from |g|g(t) and |a|g(t)
231TH c  1958Fi10: measured E|g for four |g rays, |a|g(|q). Level scheme
231TH2c  proposed.
231TH c  1957Wu39: measured E|a, I|a, E|g, I|g, half-life of {+235}U decay,
231TH2c  |a|g-coin for four |a lines, and two |g rays
231TH c  1957Cl17: measured E|a of one line at 4396 keV {I20}, and half-life of
231TH2c  {+235}U decay
231TH c  1956Jo25: measured E|g, I|g, |g|g-coin for nine |g rays.
231TH c  1956Ma01: measured E|g, I|g, |g|g-coin for nine |g rays.
231TH c  1955St04: measured E|g, I|g, |a|g-coin for four |a rays
231TH c  1952Ve05: measured E|a, I|a
231TH c  1951Be97: measured E|g, I|g for five |g rays
231TH c  1951Gh22: measured E|a and I|a of four |a lines: 4580 (10%),
231TH2c  4470(?) (|?3%), 4400 (83%) and 4200 (4%)
231TH c  1949Ma37: evidence of a |g ray at 162 keV from the |a decay of {+235}U
231TH c  Others:
231TH c  2021El04: measured {+235}U/{+238}U ratio in ores by a focus on the
231TH2c  185.7-keV most intense |g ray emitted in the decay of {+235}U.
231TH c  2008Po06: measurement of T{-1/2}({+238}U)/T{-1/2}({+235}U)=6.351 {I31}
231TH2c  from high-resolution |a-spectroscopy at JRC, Geel, in agreement with
231TH3c  value from 1971Ja07
231TH c  2005Po02: measured |a-spectrum. Monte Carlo simulations and imaging
231TH2c  to investigate degradation of the alpha particle energy spectrum
231TH3c  by thick samples. No data for individual |a groups provided.
231TH c  2004Va12: measurement of corrections due to scattering and
231TH2c  self-absorption of |a-particles from the source and from the backing
231TH3c  material using 2|p detectors, and Monte Carlo simulations.
231TH c  Other evaluations:
231TH c  2010BeZQ, 2009Hu07: DDEP evaluation of {+235}U decay, covering
231TH2c  literature up to June 2008.
231TH c  1986LoZT: evaluated data at the IAEA for absolute intensities of 17
231TH2c  |g rays from 41-247 keV covering available data up to 1984
231TH c  Evaluators' cautionary note: {+235}U is a well known nuclide for
231TH2c  nuclear structure and reactor applications. Although there have been
231TH3c  many studies of its alpha decay to levels in {+231}Th, including some
231TH4c  recent ones such as 2018Ma03 and 2017Le03, yet evaluators' analysis
231TH5c  of the decay scheme suggests that while |a-transitions are well
231TH6c  established, yet several issues remain about gamma-ray and conversion
231TH7c  electron spectroscopy to characterize the decay scheme fully. Most
231TH8c  studies have either dealt with the determination of intensities of |g
231TH9c  rays or the |a particles, not focused on unraveling the intricacies of
231THAc  the decay scheme itself, with the exception of the decay scheme study
231THBc  by 1974Te03. Evaluators find following issues with the present decay
231THCc  scheme: lack of agreement between different studies for intensities of
231THDc  weak gamma rays (<1% or so relative intensity), and limited spectral
231THEc  information for intensities of several low-energy transitions (19.55,
231THFc  41.1, 42.02, 54.25, 64.45, 95.7 keV) and multipolarities, intensities
231THGc  for some of which have been estimated by the evaluators from intensity
231THHc  balance arguments in the present decay scheme as much as possible. For
231THIc  some of the levels, direct feedings to levels deduced from gamma
231THJc  transition intensities in the present decay scheme do not
231THKc  agree well with the measured alpha-particle intensities to those
231THLc  levels. It is possible that there are still some missing low-energy,
231THMc  heavily converted transitions. In evaluators' opinion, a dedicated and
231THNc  precise gamma-ray and conversion electron spectroscopic study is needed
231THOc  for a better understanding and completeness of the decay scheme,
231THPc  although, it would seem a challenging project.
231TH cA $Following 17 |a lines reported by 1966Ga03 were not confirmed in
231TH2cA later studies by 1975Va11, 2004Da24 and 2005Ga36: 4579 {I3} (I|a=1.8),
231TH3cA 4559 {I3} (I|a=2.5), 4537 {I10} (I|a<0.5), 4519 {I3} (4552 in Table 1
231TH4cA of 1966Ga03 is erroneous) (I|a<1.0), 4510 {I10} (I|a<0.5), 4478 {I3}
231TH5cA (I|a=1.6), 4424 {I5} (I|a=1.8), 4368 {I5} (I|a=6.1), 4339 {I5}
231TH6cA (I|a<1.0), 4184 {I3} (I|a=1.3), 4164 {I10} (I|a<0.5), 4131 {I10}
231TH7cA (I|a<0.5), 4091 {I10}, 3945 {I10}, 3892 {I20}, 3825 {I20} and
231TH8cA 3769 {I20}.
231TH cA $Following five |a lines reported by 1960Ba44 were not confirmed in
231TH2cA later studies by 1975Va11, 2004Da24 and 2005Ga36: 4578 {I4} (I|a=1.5),
231TH3cA 4522 ? {I3}, 4426 ? {I4} (I|a=1.5), 4368 {I4} (I|a=6), 4339 {I4}
231TH4cA (I|a=1.5).
231TH cA E,IA$Weighted average of values from 2005Ga36 and 2004Da24, unless
231TH2cA otherwise specified. Other measurements: 1975Va11, 1966Ga03, 1962Pi06,
231TH3cA 1960Ba44. Evaluation of four E|a values: 1991Ry01.
231TH4cA For |a intensities, evaluators have included the effect of normalizing
231TH5cA the total alpha decay emission probability to 100% in the
231TH6cA uncertainties of the individual alpha-particle emission probabilities.
231TH cA HF$The nuclear radius parameter r{-0}({+231}Th)=1.52410 {I58}
231TH2cA is deduced from interpolation (or unweighted average) of radius
231TH3cA parameters of the adjacent even-even nuclides evaluated in 2020Si16
231TH cA IA(b)$From |g-ray transition intensity balance
231TH cG $Measured intensities of x rays (2017Le03), absolute intensities are
231TH2cG per 100 decays of {+235}U, and relative intensities are with respect
231TH3cG to I|g=100.0 {I12} for the 185.72-keV ground-state transition:
231TH cG $I(Th L{-l} x-rays)=0.599 {I15} (absolute), 1.039 {I26} (relative)
231TH2cG (2017Le03)
231TH cG $I(Th L{-|a} x-rays)=20.26 {I44} (absolute), 35.2 {I8} (relative)
231TH2cG (2017Le03)
231TH cG $I(Th L{-|b} x-rays)=17.42 {I38} (absolute), 30.2 {I6} (relative)
231TH2cG (2017Le03)
231TH cG $I(Th L{-|g} x-rays)=2.43 {I5} (absolute), 4.22 {I9} (relative)
231TH2cG (2017Le03)
231TH cG $I(Th total L x-rays)=40.7 {I10} (absolute), 70.7 {I17} (relative)
231TH2cG (2017Le03)
231TH cG $I(Th K{-|a2} x-rays)=3.73 {I19} (absolute), 6.48 {I35} (relative)
231TH2cG (2017Le03)
231TH cG $I(Th K{-|a1} x-rays)=4.62 {I24} (absolute), 8.03 {I43} (relative)
231TH2cG (2017Le03)
231TH cG $I(Th K{-|b'1} x-rays)=1.46 {I8} (absolute), 2.63 {I14} (relative)
231TH2cG (2017Le03)
231TH cG $I(Th K{-|b'2} x-rays)=0.431 {I22} (absolute), 0.748 {I40} (relative)
231TH2cG (2017Le03)
231TH cG $
231TH cG $Measured energies and absolute intensities of x rays (1996Ru11):
231TH cG $I(Th, K{-|a1}): E(x ray)=93.35, I(x ray)=5.56% {I14}
231TH cG $I(Th, K{-|b1}): E(x ray)=105.6, I(x ray)=1.17% {I5}
231TH cG $
231TH cG $Measured energies and absolute intensities of x rays (1975Va11):
231TH cG $I(Th, L{-3},M{-1}): E(x ray)=11.118 {I10}, I(x ray)=1.65% {I45}
231TH cG $I(Th, L{-3},M{-4,5}): E(x ray)=12.994 {I25}, I(x ray)=37.6% {I42}
231TH cG $I(Th, L{-2},M{-1}): E(x ray)=14.519 {I11}, I(x ray)=1.41% {I27}
231TH cG $I(Th, L{-3},N{-1})+I(Pa, L{-2},M{-1}): E(x ray)=14.993 {I30},
231TH2cG I(x ray)=1.10% {I21}
231TH cG $I(Th, L{-1},M{-2}+L{-3},N{-5}): E(x ray)=15.624 {I20},
231TH2cG I(x ray)=12.7% {I13}
231TH cG $I(Th, L{-2},M{-4}): E(x ray)=16.193 {I10}, I(x ray)=68.1% {I69}
231TH cG $I(Th, L{-2},N{-1}): E(x ray)=18.336 {I30}, I(x ray)=0.46% {I9}
231TH cG $I(Th, L{-2},N{-4}): E(x ray)=18.978 {I5}, I(x ray)=10.6% {I11}
231TH cG $I(Th, L{-2},O{-4})+I(Pa, L{-2},N{-4}): E(x ray)=19.580 {I27},
231TH2cG I(x ray)=4.24% {I45}
231TH cG $Other: L- and M- x-rays: 1990Po14.
231TH cG $I(K x-rays)=11.8% {I2}, deduced by evaluators from decay
231TH2cG scheme using RADLST code.
231TH cG $The |g|g-coin measurements have been made by 1999Yu01, 1975Va11,
231TH2cG 1974Te03 and 1966Ga03
231TH cG $The |a|g-coin measurements have been made by 1999Yu01, 1975Va11 and
231TH2cG 1966Ga03
231TH cG $Most of the unplaced |g rays are considered as uncertain assignment
231TH2cG to the decay of {+235}U.
231TH cG $In 2010BeZQ (also 2009Hu07) DDEP evaluation, there is no confirming
231TH2cG evidence from {+235}U decay for the following |g rays and their
231TH3cG placements: 97 {I4} from 334 level; 255.365 {I10}, 310.69 {I6} and
231TH4cG 350 {I5} from 351.565 level; 397.27 {I20} from 595.58 level, thus
231TH5cG omitted in the present evaluation.
231TH cG E$The |g-ray energies have been measured using Ge(Li) or Ge detectors
231TH2cG by 1984He12, 1977Ba72, 1975Va11, 1974Te03 and 1974HeYW (also 1971KrZH,
231TH3cG 1971Cl03). Other: 1983Ba77. See comments for individual |g rays for
231TH4cG recommended values
231TH cG RI$The |g-ray intensities, using Ge or Ge(Li) detectors have been
231TH2cG measured by 2018Ma03 (32 |g rays), 2017Le03 and 2021LeZZ (23 |g rays),
231TH3cG 2006Al28 (6 |g rays), 1999Ch12 (185.7|g), 1996Ru11 (8 |g rays and x
231TH4cG rays), 1992Li05 (8 |g rays), 1984He12 (5 |g rays), 1983Ol01
231TH5cG (4 |g rays), 1983Ba77 (18 |g rays), 1982Va04 (4 |g rays), 1977Ba72
231TH6cG (50 |g rays), 1975Va11 (42 |g rays), 1974Te03 (28 |g rays), 1974HeYW
231TH7cG (also 1971KrZH, 1971Cl03, 34 |g rays). Intensities in different studies
231TH8cG were converted to relative intensities relative to 100.0 for the 185.7
231TH9cG |g ray. See comments for individual |g rays for recommended relative
231THAcG values. In 2018Ma03, recommended intensities for 9 |g rays are from
231THBcG power-moderated mean method (PMM) of collaborative measurements at
231THCcG different metrology labs (JRC, CIEMAT, ENEA, CMI), as listed in
231THDcG authors' Table 5. In 2017Le03, evaluators have used revised relative
231THEcG intensities received March 01, 2021 from the first author, in deducing
231THFcG recommended relative |g-ray intensities, as the published relative
231THGcG intensities in 2017Le03 were found to be inconsistent by evaluators
231TH cG E(A),RI(A)$This |g from 1977Ba72 only
231TH cG E(B),RI(B)$This |g from 1975Va11 only
231TH cG E(n)$Assignment of this |g to {+235}U decay in 1977Ba72 is considered
231TH2cG highly questionable by evaluators, as with the reported intensity in
231TH3cG this work, it should have been detected in other studies.
231TH cG E(X)$Assignment to {+235}U |a decay is uncertain
231TH cG RI(D)$From 2018Ma03, relative intensity deduced by evaluators
231TH2cG by renormalizing the absolute intensities in 2018Ma03 to I|g=100.0
231TH3cG for the 185.7|g.
231TH cG RI(E)$Relative intensity from 2017Le03 (as revised in March 01, 2021
231TH2cG communication from the first author). Absolute intensity from this
231TH3cG work is given in comments
231TH cG M,MR$From the Adopted Gammas, unless otherwise stated
231TH cG E(x)$Unobserved but expected |g ray.
231TH cL $The 156.78, 170.89, 227.4 and 390.2 levels proposed in 1974Te03;
231TH2cL 279.5 and 338.0 levels in 1977Ba72; and 351.565 and 595.58 levels in
231TH3cL 2010BeZQ (also 2009Hu07) DDEP evaluation have been omitted as these are
231TH4cL not confirmed in {+235}U |a decay or other studies. The |g rays
231TH5cL proposed from these levels have either been reassigned or not confirmed
231TH cL $The decay scheme is primarily from 1975Va11, based on earlier
231TH2cL level scheme in 1974Te03, and partially in 1966Ga03.
231TH cL $As a result of several |a and |g lines reported only in 1966Ga03,
231TH2cL not confirmed in later studies, the following levels proposed in
231TH3cL this work, listed in their Table 1 and level-scheme Fig. 1 are
231TH4cL omitted: 13, 33, 55, 75, 82, 114, 154, 168, 196, 224, 230, 253,
231TH5cL 408, 428, 461, 501, 510, 620, 647, 700, 757, 810, 825 and 1010 keV.
231TH cL E$From least-squares fit to E|g data. Uncertainties of the following
231TH2cL |g rays were adjusted to obtain a reduced |h{+2} consistent with
231TH3cL critical |h{+2}=1.63: 0.10 keV from 0.05 keV for 120.35|g from 162.1
231TH4cL level, and 0.08 keV from 0.04 keV for 74.94|g from 236.9 level
231TH cL J$From the Adopted Levels
235U   P 0.0         7/2-              7.04E+8 Y 1              4678.1    7
235U  cP J,T$From {+235}U Adopted Levels in the ENSDF database (Feb 2014
235U 2cP update). No T{-1/2} measurements have been reported after the
235U 3cP 2014 evaluation.
235U  cP QP$From 2021Wa16
231TH  N 0.572     6  0.572  6  1.0
231TH PN                                                                     4
231TH cN NR,NT$From %I|g(185.7|g)=57.2% {I6}, weighted average of nine
231TH2cN independent measurements. See %I|g comment for 185.7|g for details
231TH cN BR$%|a=100 for {+235}U decay. Other decay modes (SF and cluster):
231TH2cN %SF=7|*10{+-9}% {I2}, %{+20}Ne=8|*10{+-10}% {I4},
231TH3cN %{+25}Ne|?8|*10{+-10}%, %{+28}Mg=8|*10{+-10}% from {+235}U Adopted
231TH4cN Levels in the ENSDF database (Feb 2014 update)
231TH  G 73.72     5  0.018                                                 A
231TH2 G %IG=0.0103 $
231TH  G 175.70    5  0.132                                                 A
231TH2 G %IG=0.076 $
231THF G FLAG=n
231TH  G 199.6     1  0.17   LT                                             A
231TH2 G %IG LT 0.10
231TH cG RI$0.17 for 198.75+199.6
231TH  G 225.7     2  0.0032 10
231TH2 G %IG=0.0018 6$
231TH cG E,RI$from 1974HeYW only, I|g=0.11 in 1971KrZH
231TH  G 251.5     1  0.117  LT                                             A
231TH2 G %IG LT 0.067
231TH cG RI$0.117 for 246.85+251.5
231TH  G 279.50    5  0.463                                                 A
231TH2 G %IG=0.26 $
231THF G FLAG=n
231TH  G 294.3     1  0.058                                                 A
231TH2 G %IG=0.033 $
231THF G FLAG=n
231TH  G 310.69    6  0.0093
231TH2 G %IG=0.0053 $
231TH cG E,RI$from 1975Va11. Other: E|g=311.6 {I6}, I|g=0.0030 (1971KrZH)
231TH  G 325.80    10 0.007                                                 A
231TH2 G %IG=0.004 $
231TH  G 345.4     1  0.126  LT                                             A
231TH2 G %IG LT 0.072
231TH cG RI$0.126 for 345.4+345.9
231TH  G 368.5     1  0.120  LT                                             A
231TH2 G %IG LT 0.069
231THF G FLAG=n
231TH cG RI$0.120 for 368.5+371.8
231TH  G 371.8     1  0.120  LT                                             A
231TH2 G %IG LT 0.069
231THF G FLAG=n
231TH cG RI$0.120 for 368.5+371.8
231TH  G 390.27    20 0.070  2
231TH2 G %IG=0.0400 12$
231TH cG E,RI$from 1974Te03 only, placed from a 390 level, but the 233.4|g
231TH2cG placed by the authors from the same level is now assigned from 275
231TH3cG level. The assignment of this |g to {+235}U decay is questionable as
231TH4cG with the reported intensity in 1974Te03, it should have been seen in
231TH5cG other studies
231TH  G 433.0     5  0.007                                                 A
231TH2 G %IG=0.004 $
231TH  G 455.1     1  0.015                                                 B
231TH2 G %IG=0.009 $
231TH  G 517.9     2  0.00074                                               B
231TH2 G %IG=0.00042 $
231TH  G 742.5     2  0.00074                                               B
231TH2 G %IG=0.00042 $
231THF G FLAG=X
231TH  G 794.7     1  0.0011                                                B
231TH2 G %IG=0.0006 $
231THF G FLAG=X
231TH  L 0.0           5/2+             25.57 H  8
231TH cL T$from the Adopted Levels
231TH  A 4597.7    7  4.77   7   255E1 4
231TH cA E$unweighted average of 4598.0 keV {I13} (2005Ga36) and 4597.3 keV {I4}
231TH2cA (2004Da24). 1991Ry01 evaluation recommended 4596.4 {I13}. Others:
231TH3cA 4597 {I3} (1975Va11), 4592 {I3} (1966Ga03), 4590 {I20} (1965Wh05),
231TH4cA 4590 {I5} (1964Sc27), 4592 (1962Pi06), 4580 {I15} (1961Ko11),
231TH5cA 4598 {I3} (1960Vo07), 4592 (1960Ba44), 4580 (1951Gh22)
231TH cA IA$weighted average of 4.74% {i7} (2005Ga36) and 4.84% {i9} (2004Da24).
231TH2cA Others: 5.4 {I5} (1975Va11), 1.2 (1966Ga03), 3.9 {I5} (1965Wh05),
231TH3cA 5.7 (1964Sc27), 4.7 (1962Pi06), 4 (1961Ko11), 6.5 (1960Vo07),
231TH4cA <1 (1960Ba44), 10.2 (1951Gh22)
231TH  L 41.9509   17  7/2+
231TH  A 4556.5    9  3.82   6   157E1 3
231TH cA E$unweighted average of 4556.9 keV {i17} (2005Ga36) and 4556.0 keV {i4}
231TH2cA (2004Da24). Others: 4555 {I3} (1975Va11), 4550 {I3} (1966Ga03),
231TH3cA 4530 {I20} (1965Wh05), 4550 {I5} (1964Sc27), 4551 (1962Pi06),
231TH4cA 4545 {I10} (1961Ko11), 4558 {I3} (1960Vo07), 4550 {I4} (1960Ba44)
231TH cA IA$weighted average of 3.87% {i6} (2005Ga36) and 3.74% {i8} (2004Da24).
231TH2cA Others: 4.5% {I5} (1975Va11), 1.7 (1966Ga03), 3.7 {I5} (1965Wh05),
231TH3cA 4.1 (1964Sc27), 3.7 (1962Pi06), 4 (1961Ko11), 2.5 (1960Vo07),
231TH4cA 3 (1960Ba44)
231TH  G 42.02     10 0.119  14M1+E2     0.95    10    3.7E2  4  44.9     8
231TH2 G %IG=0.069 7$
231THS G  L/T=0.73 6$M/T=0.20 3
231THS G  N/T=0.053 8$O/T=0.0118 17$P/T=0.0020 3$Q/T=1.91E-5 23
231THS G  LC=2.7E2 3$MC=73 8
231THS G  NC=19.4 21$OC=4.3 5$PC=0.72 8$QC=0.0070 4
231TH cG E$weighted average of 41.95 {I10} (1977Ba72), 42.1 {I1} (1975Va11),
231TH2cG 41.96 {I15} (1974Te03), 42.1 {I2} (1971KrZH). Other: 41.96 (1983Ba77)
231TH cG RI$weighted average of 0.122 {I14} (2018Ma03), 0.105 {I18} (1983Ba77).
231TH2cG Others: 0.07 {I3} (1974Te03), 111 (1977Ba72), 0.030 (1975Va11),
231TH3cG |?0.093 (1971KrZH)
231TH cG $Measured %I|g=0.070 {I8} (2018Ma03), 0.06 {I1} (1983Ba77)
231TH cG TI$From |g-ray transition intensity balance and I|a feeding
231TH2cG the 42 level
231TH cG M,MR$From I(|g+ce) and I|g
231TH  L 96.126     4  9/2+
231TH  A 4502.9    11 1.28   4   185E1 6
231TH cA E$unweighted average of 4503.3 keV {i20} (2005Ga36) and 4502.4 keV {i7}
231TH2cA (2004Da24). Others: 4501 {I4} (1975Va11), 4496 {I3} (1966Ga03),
231TH3cA 4495 {I5} (1964Sc27), 4497 (1962Pi06), 4496 {I4} (1960Ba44)
231TH cA IA$weighted average of 1.25% {i4} (2005Ga36) and 1.32% {i5} (2004Da24).
231TH2cA Others: 1.7 {I2} (1975Va11), 1.4 (1966Ga03), 1.4 (1964Sc27),
231TH3cA 1.2 (1962Pi06), 1 (1960Ba44)
231TH  G 54.25     5  0.028  9 M1+E2     0.85    25    1.00E+229            D
231TH2 G %IG=0.016 5$
231THS G  L/T=0.73 16$M/T=0.196 72
231THS G  N/T=0.052 21$O/T=0.0118 48$P/T=0.00198 79$Q/T=3.2E-5 11
231THS G  LC=74 21$MC=19.8 58
231THS G  NC=5.3 16$OC=1.19 35$PC=0.200 56$QC=0.0033 6
231TH cG E$From 1977Ba72. Other: 54.1 (1975Va11, in coincidence data, see also
231TH2cG possible placement from 275 level)
231TH cG RI$0.028 {I9} (2018Ma03). Other: 0.052 for 54.25+54.1 (1977Ba72)
231TH cG $Measured %I|g=0.016 {I5} (2018Ma03)
231TH  G 96.09     2  0.222  12[E2]                    13.58  19            E
231TH2 G %IG=0.127 7$
231THS G  LC=9.93 14$MC=2.73 4
231THS G  NC=0.731 11$OC=0.1629 23$PC=0.0270 4$QC=0.0001141 16
231TH cG E$from 1974Te03. Others: 96.2 (1977Ba72), 96.1 (1975Va11, in |a|g-coin)
231TH cG RI$0.222 {I12} (2017Le03). Other: 0.16 {I2} (1974Te03)
231TH cG $Measured %I|g=0.128 {I7} (2017Le03)
231TH  L 162.13     6 11/2+
231TH  A 4438.3    22 0.245  26 3.1E3  3
231TH cA E$unweighted average of 4438.7 keV {i20} (2005Ga36) and 4437.9 keV
231TH2cA {i40} (2004Da24). Others: 4435 {I5} (1975Va11), 4438 {I3} (1966Ga03)
231TH3cA 4440 {I40} (1965Wh05), 4440 ? (1962Pi06), 4438 {I4} (1960Ba44)
231TH cA IA$unweighted average of 0.219% {i16} (2005Ga36) and 0.27% {i2}
231TH2cA (2004Da24). Others: |?0.7 (1975Va11), 2.1 (1966Ga03), 1.5 {I8}
231TH3cA (1965Wh05), |?0.6 (1962Pi06), 3 (1960Ba44)
231TH  G 120.35    5  0.038  17[E2]                    5.04   7             D
231TH2 G %IG=0.022 10$
231THF G FL=41.9509
231THS G  KC=0.256 4$LC=3.50 5$MC=0.960 14
231THS G  NC=0.257 4$OC=0.0574 9$PC=0.00956 14$QC=5.28E-5 8
231TH cG E$from 1977Ba72. Other: 120.0 (1975Va11, in coincidence data)
231TH cG RI$0.038 {I17} (2018Ma03). Other: 0.045 (1977Ba72)
231TH cG $Measured %I|g=0.022 {I10} (2018Ma03).
231TH  L 185.7143  17  5/2-            1.07 NS   8
231TH cL T$from the Adopted Levels. Other: 0.77 ns {I12} (1959St49, |g|g(t)
231TH2cL and |a|g(t))
231TH  A 4415.1    8  3.09   6   160   4
231TH cA E$unweighted average of 4415.3 keV {i15} (2005Ga36) and 4414.9 keV {i5}
231TH2cA (2004Da24). Others: 4411 {I5} (1975Va11), 4411 {I5} (1966Ga03),
231TH3cA |?4407 (1964Sc27), 4414 ? (1962Pi06), 4412 {I4} (1960Ba44)
231TH cA IA$weighted average of 3.11% {i6} (2005Ga36) and
231TH2cA 3.07% {i7} (2004Da24). Others: 2.1 {I2} (1975Va11), 2.3 (1966Ga03),
231TH3cA |?3 (1964Sc27), |?4 ? (1962Pi06), 2 (1960Ba44)
231TH  G 143.765   2  19.11  14 E1                     0.207  3
231TH2 G %IG=10.93 14$
231THS G  KC=0.1615 23$LC=0.0344 5$MC=0.00833 12
231THS G  NC=0.00220 3$OC=0.000503 7$PC=9.08E-5 13$QC=5.84E-6 9
231TH cG E$weighted average of E|g=143.768 {I3} (1984He12, 143.78 {I2} in
231TH2cG 1974HeYW from the same lab); 143.75 {I5} (1977Ba72); 143.77 {I2}
231TH3cG (1975Va11); 143.753 {I8} (1974Te03); 143.764 {I2} (1987Wh01, (n,|g),
231TH4cG curved-crystal). Other: 143.76 (1983Ba77)
231TH cG RI$weighted average of 19.00 {I28} (2018Ma03), 18.80 {I24} (2017Le03),
231TH2cG 19.06 {I35} (1996Ru11), 19.3 {I11} (1992Li05), 19.25 {I14} (1984He12,
231TH3cG 18.0 {I9} in 1974HeYW), 19.50 {I27} (1983Ol01), 18.67 {I35} (1983Ba77),
231TH4cG 18.96 {I35} (1982Va04), 19.4 {I20} (1975Va11), 19.6 {I20} (1974Te03)
231TH5cG Others: 17.37 (1977Ba72); I(|g+ce)(144)/I(|g+ce)(186)=0.202 (1999Yu01)
231TH cG $Measured %I|g=10.87 {I16} (2018Ma03, power moderated mean (PMM) of
231TH2cG 11.0 {I4}, 10.64 {I26}, 10.9 {I4} and 10.92 {I13}), 10.83 {I14}
231TH3cG (2017Le03), 10.9 {I2} (1996Ru11), 10.99 {I61} (1992Li05), 11.01 {I8}
